Group,Dose_mg,Time,ADCcc_ugml,Concentration_nM
1,3,0,42.1862995,275.7274477
1,3,0.287552937,27.7328363,181.260368
1,3,0.919174717,15.57814661,101.8179517
1,3,2.900170301,5.896040894,38.53621499
1,3,3.853028499,4.651209458,30.40006182
1,3,6.790499299,2.110724008,13.79558175
1,3,14.10071888,0.609259761,3.982089941
2,9,0.058776544,87.73393399,573.4244052
2,9,0.453031513,57.68338578,377.0155933
2,9,0.927765135,42.10439785,275.1921428
2,9,2.909891037,18.16307961,118.7129386
2,9,4.102150619,15.49189131,101.2541916
2,9,6.879342306,6.169830535,40.32568977
2,9,13.9508387,1.781661241,11.64484471
3,30,0.230132775,360.3082049,2354.955588
3,30,0.386116679,249.7267546,1632.20101
3,30,0.859946046,164.1677816,1072.992037
3,30,2.921420282,68.98047916,450.852805
3,30,4.032749084,50.29451849,328.7223431
3,30,7.054089491,37.51731593,245.2112152
3,30,14.04668967,11.72018147,76.60249327
